accuracy,f1_score,recall,precision,k,modelo_ML
0.8407911152521435,0.8299406506364322,0.8407911152521435,0.8323076619841486,22,MLP
0.8016645678544518,0.8014997945354774,0.8016645678544518,0.8013377133564028,22,Decision Tree
0.8231320024230473,0.8200700047831493,0.8231320024230473,0.818019806863578,22,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,22,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,22,Gaussian NB
0.8397777394460645,0.8320333493874713,0.8397777394460645,0.8318283981573612,23,MLP
0.8015724227167014,0.8015157628404307,0.8015724227167014,0.8014602845349174,23,Decision Tree
0.8221492448275202,0.8191330195712041,0.8221492448275202,0.8170870105135968,23,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,23,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,23,Gaussian NB
0.8404841182204366,0.8336873298607312,0.8404841182204366,0.8328808272540071,24,MLP
0.8013881569644422,0.8013921160707415,0.8013881569644422,0.8013969711804025,24,Decision Tree
0.8236540833763056,0.8203814627673645,0.8236540833763056,0.8182663785828431,24,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,24,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,24,Gaussian NB
0.8426645833984142,0.8351199136802537,0.8426645833984142,0.8346600977159253,25,MLP
0.8020638062304729,0.8021363529669434,0.8020638062304729,0.8022106223111389,25,Decision Tree
0.8228863021773469,0.8197932160704454,0.8228863021773469,0.8177283775609722,25,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,25,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,25,Gaussian NB
0.8422345947636163,0.8316654696438497,0.8422345947636163,0.8339797506888202,26,MLP
0.802063815662489,0.8019378281822798,0.802063815662489,0.8018153493086275,26,Decision Tree
0.822272057222306,0.8190236545648614,0.822272057222306,0.8168945415809332,26,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,26,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,26,Gaussian NB
0.8442001325915091,0.8365544005835917,0.8442001325915091,0.8364182700365311,27,MLP
0.8018181248488048,0.8017359801847808,0.8018181248488048,0.8016544623518894,27,Decision Tree
0.8234698364880786,0.8201672211921095,0.8234698364880786,0.8180393948992188,27,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,27,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,27,Gaussian NB
0.8414976411659663,0.8328090648887776,0.8414976411659663,0.8331093158837197,28,MLP
0.8023094951577538,0.8021405759378495,0.8023094951577538,0.8019748508079553,28,Decision Tree
0.8229477423299978,0.8199188964643893,0.8229477423299978,0.8178815319358345,28,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,28,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,28,Gaussian NB
0.8405762256301228,0.834203448567963,0.8405762256301228,0.8329585930146448,29,MLP
0.8014495914578834,0.801401909541069,0.8014495914578834,0.8013546370561504,29,Decision Tree
0.8231626753392922,0.8198985726510317,0.8231626753392922,0.8177778411223402,29,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,29,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,29,Gaussian NB
0.8414976053243051,0.8345184612937173,0.8414976053243051,0.8336034082010879,3,MLP
0.8016031427930267,0.8014199853965092,0.8016031427930267,0.80124311074388,3,Decision Tree
0.8231320250598857,0.8199356252268715,0.8231320250598857,0.8178371602789156,3,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,3,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,3,Gaussian NB
0.841804691016963,0.8356890900686573,0.841804691016963,0.8344081836005585,30,MLP
0.8018181154167887,0.8017790243753109,0.8018181154167887,0.801740451413685,30,Decision Tree
0.8230705358607515,0.8199175707175888,0.8230705358607515,0.8178332110046995,30,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,30,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,30,Gaussian NB
0.8388256264707342,0.8319695992410389,0.8388256264707342,0.8324244915780762,31,MLP
0.801664569740855,0.801603405615311,0.801664569740855,0.801545021508501,31,Decision Tree
0.8231627130673566,0.8197908096628351,0.8231627130673566,0.8176355035003066,31,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,31,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,31,Gaussian NB
0.8429409999476334,0.8346896683668202,0.8429409999476334,0.8348046444179595,32,MLP
0.8018488015378562,0.8017438186660255,0.8018488015378562,0.80164133285812,32,Decision Tree
0.8228556254882955,0.8196237626993301,0.8228556254882955,0.8175158240841369,32,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,32,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,32,Gaussian NB
0.8408219918999356,0.8335830482335391,0.8408219918999356,0.8331851418726137,33,MLP
0.8021559664594491,0.801974137107599,0.8021559664594491,0.8017968404604028,33,Decision Tree
0.8231012974379475,0.8198098414793603,0.8231012974379475,0.8176846003142902,33,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,33,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,33,Gaussian NB
0.8430331318805614,0.8347861201428417,0.8430331318805614,0.8349379179181216,34,MLP
0.8017874085452859,0.8016227954284179,0.8017874085452859,0.8014608011261156,34,Decision Tree
0.8233162625160967,0.8201230508447208,0.8233162625160967,0.8180284440211998,34,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,34,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,34,Gaussian NB
0.841497560050628,0.8350545206819155,0.841497560050628,0.8338404881832162,35,MLP
0.801326756426259,0.8013138372750963,0.801326756426259,0.8013012193306412,35,Decision Tree
0.8235619703074097,0.8204002977765646,0.8235619703074097,0.8183206173105015,35,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,35,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,35,Gaussian NB
0.8424188982439397,0.8324372809964706,0.8424188982439397,0.8342612997837366,36,MLP
0.8013574368881169,0.8012881304478995,0.8013574368881169,0.8012192571048815,36,Decision Tree
0.8233776970095379,0.8200325743298004,0.8233776970095379,0.8178892758354486,36,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,36,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,36,Gaussian NB
0.8429717275695716,0.8355818298174267,0.8429717275695716,0.8350449177280262,37,MLP
0.8016645754000646,0.8016122231124109,0.8016645754000646,0.8015625628341585,37,Decision Tree
0.8228249091847766,0.8196328608987518,0.8228249091847766,0.8175388294049268,37,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,37,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,37,Gaussian NB
0.8426646230128817,0.834402493149212,0.8426646230128817,0.834570953389224,38,MLP
0.801756701673783,0.8017437310227808,0.801756701673783,0.8017308179301252,38,Decision Tree
0.8221799611310391,0.818944138934626,0.8221799611310391,0.8168191356103432,38,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,38,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,38,Gaussian NB
0.842572492966357,0.8339930218321101,0.842572492966357,0.8344089282572507,39,MLP
0.801142466150758,0.8009642225626499,0.801142466150758,0.8007888261637622,39,Decision Tree
