accuracy,f1_score,recall,precision,k,modelo_ML
0.6912229751989287,0.6773111965667084,0.6912229751989287,0.7668351185293079,10,KNN
0.6912229751989287,0.6773111965667084,0.6912229751989287,0.7668351185293079,11,KNN
0.6912229751989287,0.6773111965667084,0.6912229751989287,0.7668351185293079,12,KNN
0.6912229751989287,0.6773111965667084,0.6912229751989287,0.7668351185293079,13,KNN
0.6912229751989287,0.6773111965667084,0.6912229751989287,0.7668351185293079,14,KNN
0.6912229751989287,0.6773111965667084,0.6912229751989287,0.7668351185293079,15,KNN
0.6903937557337225,0.675563718540185,0.6903937557337225,0.7697020949491292,16,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,17,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,18,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,19,KNN
0.7200921485332763,0.7077332750558779,0.7200921485332763,0.8013970937157093,2,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,20,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,21,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,22,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,23,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,24,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,25,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,26,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,27,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,28,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,29,KNN
0.7172053083537329,0.7040460683077943,0.7172053083537329,0.7939452222463532,3,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,30,KNN
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,31,KNN
0.6621688947352298,0.6391091420623047,0.6621688947352298,0.7864853250250823,32,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,33,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,34,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,35,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,36,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,37,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,38,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,39,KNN
0.7146561796230122,0.7020414839871101,0.7146561796230122,0.7908980296240515,4,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,40,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,41,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,42,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,43,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,44,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,45,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,46,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,47,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,48,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,49,KNN
0.6979796527267506,0.6852703615916039,0.6979796527267506,0.7689847328817394,5,KNN
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,50,KNN
0.6979796527267506,0.6852703615916039,0.6979796527267506,0.7689847328817394,6,KNN
0.6979796527267506,0.6852703615916039,0.6979796527267506,0.7689847328817394,7,KNN
0.6994845610724549,0.6855832094327446,0.6994845610724549,0.771645466354582,8,KNN
0.6912229751989287,0.6773111965667084,0.6912229751989287,0.7668351185293079,9,KNN
