accuracy,f1_score,recall,precision,k,modelo_ML
0.639441737078553,0.6081242014791997,0.639441737078553,0.7889406344762132,27,MLP
0.5375380053655343,0.4610546057677082,0.5375380053655343,0.7152670283910245,27,Decision Tree
0.5340674969406313,0.44366309084406486,0.5340674969406313,0.7839577685089117,27,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,27,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,27,Gaussian NB
0.6312413574436792,0.6007344745996132,0.6312413574436792,0.7868554210149631,28,MLP
0.537169464429,0.4606878856370856,0.537169464429,0.7115469056777854,28,Decision Tree
0.5332382529521833,0.4430493223589206,0.5332382529521833,0.7758358305527359,28,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,28,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,28,Gaussian NB
0.6421747184392292,0.6175677154399196,0.6421747184392292,0.7940140661933721,29,MLP
0.5370773230640561,0.46047205467337005,0.5370773230640561,0.7123397385402281,29,Decision Tree
0.5352038417129628,0.4464831239450273,0.5352038417129628,0.7819032064568201,29,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,29,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,29,Gaussian NB
0.5961985145857451,0.5448401544048392,0.5961985145857451,0.8217371478834967,3,MLP
0.5273722369286217,0.438074224132614,0.5273722369286217,0.7302768729349356,3,Decision Tree
0.5247002109149704,0.42499410111828284,0.5247002109149704,0.7977074007945704,3,Random Forest
0.7172053083537329,0.7040460683077943,0.7172053083537329,0.7939452222463532,3,KNN
0.699177262216234,0.6839089023012341,0.699177262216234,0.7979906744782875,3,Gaussian NB
0.634036184533697,0.6037278093961858,0.634036184533697,0.790692235874225,30,MLP
0.5369851967903377,0.46025931616116356,0.5369851967903377,0.7103462534250617,30,Decision Tree
0.5345281849013193,0.4456726207878746,0.5345281849013193,0.7759230031900108,30,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,30,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,30,Gaussian NB
0.6368926177798483,0.6049871249629829,0.6368926177798483,0.7873518403054478,31,MLP
0.5370773249504592,0.4603501693507271,0.5370773249504592,0.7124967357598051,31,Decision Tree
0.5336375158514461,0.4430438065542386,0.5336375158514461,0.7812309864006171,31,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,31,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,31,Gaussian NB
0.654705212147169,0.6354143824010255,0.654705212147169,0.7964661623696969,32,MLP
0.5329617816972709,0.45118949172093825,0.5329617816972709,0.7256078487135302,32,Decision Tree
0.5322861097944016,0.4419047029503598,0.5322861097944016,0.7796918551120657,32,Random Forest
0.6621688947352298,0.6391091420623047,0.6621688947352298,0.7864853250250823,32,KNN
0.7483479503172703,0.727997738319335,0.7483479503172703,0.7554421784593057,32,Gaussian NB
0.6504675223995291,0.6213148285768262,0.6504675223995291,0.7898741448477604,33,MLP
0.5372922636189634,0.46668263582506897,0.5372922636189634,0.6970040565285274,33,Decision Tree
0.524761481291332,0.42693247083160246,0.524761481291332,0.791633865032199,33,Random Forest
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,33,KNN
0.7493921857935124,0.7270676460493322,0.7493921857935124,0.7542253587895765,33,Gaussian NB
0.653999188016601,0.6298491499007489,0.653999188016601,0.7920585838812353,34,MLP
0.5371387009654007,0.46597109466303954,0.5371387009654007,0.6980783298366895,34,Decision Tree
0.5319481983868385,0.44211319181510683,0.5319481983868385,0.7840474424376147,34,Random Forest
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,34,KNN
0.7493921857935124,0.7270676460493322,0.7493921857935124,0.7542253587895765,34,Gaussian NB
0.6383360105167734,0.6078226435373622,0.6383360105167734,0.7905354865617975,35,MLP
0.5370772740175725,0.46603928460417193,0.5370772740175725,0.697592694902124,35,Decision Tree
0.5293683741030342,0.43540897808239754,0.5293683741030342,0.7945833140050671,35,Random Forest
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,35,KNN
0.7493921857935124,0.7270676460493322,0.7493921857935124,0.7542253587895765,35,Gaussian NB
0.6620460993180728,0.6350881710634049,0.6620460993180728,0.7915723812533542,36,MLP
0.5372308423303448,0.46640117534608705,0.5372308423303448,0.6969348140252611,36,Decision Tree
0.5313953973572547,0.43944983053858905,0.5313953973572547,0.793856113835941,36,Random Forest
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,36,KNN
0.7493921857935124,0.7270676460493322,0.7493921857935124,0.7542253587895765,36,Gaussian NB
0.6074079582371457,0.57040182348093,0.6074079582371457,0.8093665535059366,37,MLP
0.5375379412278252,0.4665109317331988,0.5375379412278252,0.7012782341827031,37,Decision Tree
0.5285084213566801,0.4342819979566122,0.5285084213566801,0.7903435160774781,37,Random Forest
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,37,KNN
0.7493921857935124,0.7270676460493322,0.7493921857935124,0.7542253587895765,37,Gaussian NB
0.6817636383556782,0.6540924543515252,0.6817636383556782,0.795214997549748,38,MLP
0.5370465596004568,0.46630599016929924,0.5370465596004568,0.6967262367573666,38,Decision Tree
0.5315489524652045,0.4394965058224982,0.5315489524652045,0.7963421500284207,38,Random Forest
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,38,KNN
0.7493921857935124,0.7270676460493322,0.7493921857935124,0.7542253587895765,38,Gaussian NB
0.6613396243371368,0.6351598220284688,0.6613396243371368,0.7981551894670553,39,MLP
0.5371079884346882,0.4662206764073321,0.5371079884346882,0.6970703456941038,39,Decision Tree
0.5336066863637344,0.4454045122460968,0.5336066863637344,0.7821405692438986,39,Random Forest
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,39,KNN
0.7493921857935124,0.7270676460493322,0.7493921857935124,0.7542253587895765,39,Gaussian NB
0.5740856716810283,0.5092645054376665,0.5740856716810283,0.823589723892254,4,MLP
0.5272801068820969,0.4381614085482504,0.5272801068820969,0.7106190433815849,4,Decision Tree
0.5228574930274764,0.4211889059990259,0.5228574930274764,0.7936861604709677,4,Random Forest
0.7146561796230122,0.7020414839871101,0.7146561796230122,0.7908980296240515,4,KNN
0.7031391805645537,0.688026636890714,0.7031391805645537,0.7976084941943578,4,Gaussian NB
0.6689871444639273,0.6426017748158439,0.6689871444639273,0.7923607506038643,40,MLP
0.5375993776076695,0.4664398409305841,0.5375993776076695,0.7007838489664999,40,Decision Tree
0.5281705854052454,0.43306410730564115,0.5281705854052454,0.7950653005657706,40,Random Forest
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,40,KNN
0.7493921857935124,0.7270676460493322,0.7493921857935124,0.7542253587895765,40,Gaussian NB
0.6451846294507986,0.6198312173162172,0.6451846294507986,0.7953188245318803,41,MLP
0.537415108082604,0.4665861923330227,0.537415108082604,0.6985833875554364,41,Decision Tree
0.5334531369149943,0.4448160675407751,0.5334531369149943,0.7839403699796001,41,Random Forest
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,41,KNN
0.7493921857935124,0.7270676460493322,0.7493921857935124,0.7542253587895765,41,Gaussian NB
0.662783124599045,0.6361940746690498,0.662783124599045,0.7990233088409358,42,MLP
0.5371694172689198,0.4658681092171881,0.5371694172689198,0.6983479461712512,42,Decision Tree
0.5324701869063395,0.44332004397137315,0.5324701869063395,0.7879116089292542,42,Random Forest
0.6421135027685608,0.6156077500027384,0.6421135027685608,0.7905971580716835,42,KNN
